Word,Revised,Correct,Content
父母,10,10,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我的父母愛我。"",""english"":""""},{""chinese"":""父母帶我上學去。"",""english"":""""},{""chinese"":""我常常幫父母做家務。"",""english"":""""}]}"
爸爸,10,10,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我的爸爸很高大。"",""english"":""""},{""chinese"":""爸爸和媽媽是我的父母。"",""english"":""""},{""chinese"":""爸爸喜歡和弟弟一起讀書。"",""english"":""""}]}"
媽媽,10,10,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""媽媽每天接我放學。"",""english"":""""},{""chinese"":""媽媽是我的母親。"",""english"":""""},{""chinese"":""媽媽和爸爸很愛我。"",""english"":""""}]}"
父親,16,8,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我的父親是醫生。"",""english"":""""},{""chinese"":""父親和媽媽很愛我。"",""english"":""""},{""chinese"":""我的父親是個好爸爸。"",""english"":""""}]}"
母親,7,7,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""母親很愛她的孩子。"",""english"":""""},{""chinese"":""我的母親是媽媽。"",""english"":""""},{""chinese"":""母親節快樂！"",""english"":""""}]}"
姐姐,6,6,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我有一個好姐姐。"",""english"":""""},{""chinese"":""姐姐和哥哥一起玩耍。"",""english"":""""},{""chinese"":""姐姐是學生。"",""english"":""""}]}"
姊姊,9,7,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""姊姊教我做功課。"",""english"":""""},{""chinese"":""姊姊和她的同學都是女孩子。"",""english"":""""},{""chinese"":""我和姊姊一起玩遊戲。"",""english"":""""}]}"
哥哥,8,8,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""哥哥喜歡踢足球。"",""english"":""""},{""chinese"":""哥哥和我是好同學。"",""english"":""""},{""chinese"":""我有一個哥哥。"",""english"":""""}]}"
弟弟,11,11,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我有一個弟弟。"",""english"":""""},{""chinese"":""弟弟喜歡玩玩具車。"",""english"":""""},{""chinese"":""我的弟弟是一個男孩子。"",""english"":""""}]}"
妹妹,9,9,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我有一個妹妹。"",""english"":""""},{""chinese"":""妹妹喜歡和哥哥玩。"",""english"":""""},{""chinese"":""我的妹妹是一個女孩子。"",""english"":""""}]}"
祖父,9,9,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我的祖父每天早上都去公園散步。"",""english"":""""},{""chinese"":""祖父講了很多故事給我和弟弟聽。"",""english"":""""},{""chinese"":""祖父是一個很好的廚師，他會煮飯。"",""english"":""""}]}"
祖母,23,7,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我的祖母很愛我。"",""english"":""""},{""chinese"":""祖母會給我講故事。"",""english"":""""},{""chinese"":""爸爸的媽媽是我的祖母。"",""english"":""""}]}"
外婆,10,8,"{""pinyin"":""wài pó"",""english"":""maternal grandmother"",""examples"":[{""chinese"":""我愛我的外婆。"",""english"":""I love my maternal grandmother.""},{""chinese"":""外婆和媽媽常常一起去買菜。"",""english"":""Maternal grandmother and Mum often go grocery shopping together.""},{""chinese"":""外婆的家有很多好吃的東西。"",""english"":""Maternal grandmother's house has a lot of delicious food.""}]}"
外公,9,7,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""媽媽和外公一起去看電影。"",""english"":""""},{""chinese"":""外公常常帶我去買糖果。"",""english"":""""},{""chinese"":""我的外公以前是個郵差。"",""english"":""""}]}"
爺爺,8,8,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""爺爺送給我一個新玩具。"",""english"":""""},{""chinese"":""我的爸爸和爺爺是醫生。"",""english"":""""},{""chinese"":""爺爺喜歡和小朋友聊天。"",""english"":""""}]}"
奶奶,9,9,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""奶奶煮飯很好吃。"",""english"":""""},{""chinese"":""奶奶和爺爺喜歡散步。"",""english"":""""},{""chinese"":""我愛我的奶奶。"",""english"":""""}]}"
小朋友,9,9,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""老師帶著小朋友去圖書館。"",""english"":""""},{""chinese"":""公園裡有很多小朋友在玩耍。"",""english"":""""},{""chinese"":""小朋友們都很喜歡聽故事。"",""english"":""""}]}"
男孩子,8,8,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""這是一個男孩子。"",""english"":""""},{""chinese"":""男孩子喜歡玩玩具車。"",""english"":""""},{""chinese"":""他是一個可愛的男孩子。"",""english"":""""}]}"
女孩子,7,7,"{""pinyin"":""nǚ hái zi"",""english"":""girl"",""examples"":[{""chinese"":""她是一個女孩子。"",""english"":""She is a girl.""},{""chinese"":""我的妹妹是一個女孩子。"",""english"":""My younger sister is a girl.""},{""chinese"":""這個女孩子和她的媽媽去公園。"",""english"":""This girl and her mom go to the park.""}]}"
消防員,8,8,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""消防員叔叔很勇敢。"",""english"":""""},{""chinese"":""我的爸爸想做消防員。"",""english"":""""},{""chinese"":""消防員幫助小朋友。"",""english"":""""}]}"
救護員,7,7,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""救護員幫助病人。"",""english"":""""},{""chinese"":""救護員和醫生都是好人。"",""english"":""""},{""chinese"":""我長大想做救護員。"",""english"":""""}]}"
廚師,9,9,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""廚師會煮很多好吃的東西。"",""english"":""""},{""chinese"":""我長大想做一個廚師。"",""english"":""""},{""chinese"":""酒店裡有很多廚師。"",""english"":""""}]}"
